code,company,name,gender,age,gender_binary
0,4You,Roy Braun,male,21,1
1,4You,Joseph Holsten,male,37,1
2,4You,Wilma Mcinnis,female,48,0
3,4You,Paula Daniel,female,23,0
4,4You,Patricia Carson,female,44,0
6,4You,Jesse Decelle,male,46,1
7,4You,Gregoria Gil,female,21,0
10,4You,Melvin Lovejoy,male,36,1
11,4You,Virginia Roberts,female,61,0
12,4You,David Thomas,male,53,1
14,4You,John Cody,male,37,1
15,4You,Janice Cudney,female,56,0
16,4You,Shane Hubner,female,47,0
19,4You,John Bennett,male,22,1
20,4You,Sally Roberts,female,65,0
21,4You,Julia Meinhart,female,56,0
22,4You,Michele Ashford,female,51,0
23,4You,Leslie Sandoval,male,35,1
24,4You,Calvin Cuellar,male,60,1
25,4You,Elizabeth Smith,female,64,0
26,4You,Yolanda Connolly,female,49,0
27,4You,Sean Pearson,male,62,1
28,4You,April Miller,female,46,0
29,4You,Lisa Natera,female,35,0
30,4You,Alberta Bornhorst,female,59,0
32,4You,Wesley Locker,male,44,1
33,4You,Ida Turzak,female,56,0
34,4You,Anita Petersen,female,21,0
38,4You,Nancy Dowdy,female,47,0
39,4You,Billie Dwight,female,48,0
41,4You,Sandra Bissonnette,female,62,0
42,4You,Robert Collins,male,61,1
43,4You,Louise James,female,24,0
44,4You,David Brisco,male,21,1
45,4You,Margaret Paul,female,54,0
46,4You,Bobby Garcia,male,42,1
47,4You,Kevin Lindholm,male,28,1
48,4You,Clyde Ruiz,male,46,1
49,4You,Charles Wilenkin,male,55,1
50,4You,Monique Williams,female,56,0
51,4You,Jenell Torbus,female,39,0
52,4You,Joyce Jacobsen,female,55,0
53,4You,Carol Dixon,female,23,0
54,4You,Dorothea Delaney,female,21,0
57,4You,Dorothy Dyson,female,32,0
58,4You,Ernie Walker,male,37,1
60,4You,Fred Moreta,male,47,1
61,4You,Susan Armstrong,female,61,0
63,4You,Robert Bell,male,22,1
64,4You,Ann Moore,female,41,0
67,4You,Melissa Long,female,41,0
68,4You,Lori Friedman,female,62,0
70,4You,Charles Lutz,male,57,1
73,4You,Melissa Emch,female,46,0
75,4You,Robert Wilhite,male,65,1
77,4You,Helen Gorman,female,57,0
79,4You,Margaret Bertholf,female,65,0
