code,company,name,gender,age,gender_binary,travel_frequency,avg_flight_price,total_flight_spend,preferred_flight_type,hotel_bookings,avg_hotel_spend,age_group,spending_category,company_enc,preferred_flight_type_enc,age_group_enc,spending_category_enc
0,4You,Roy Braun,male,21,1,178.0,989.0661235955056,176053.77,firstclass,27.0,593.1451851851851,young,premium,0,2,3,2
1,4You,Joseph Holsten,male,37,1,12.0,818.8983333333334,9826.78,premium,2.0,193.36,adult,premium,0,3,0,2
2,4You,Wilma Mcinnis,female,48,0,262.0,906.9218320610687,237613.52,firstclass,36.0,558.0033333333333,middle_aged,premium,0,2,1,2
3,4You,Paula Daniel,female,23,0,398.0,936.9138944723618,372891.73,firstclass,60.0,499.56850000000003,young,premium,0,2,3,2
4,4You,Patricia Carson,female,44,0,398.0,957.3934170854271,381042.58,firstclass,56.0,565.3160714285715,middle_aged,premium,0,2,1,2
6,4You,Jesse Decelle,male,46,1,164.0,918.6263414634146,150654.72,firstclass,23.0,541.5626086956522,middle_aged,premium,0,2,1,2
7,4You,Gregoria Gil,female,21,0,104.0,905.2106730769231,94141.91,firstclass,14.0,468.80428571428575,young,premium,0,2,3,2
10,4You,Melvin Lovejoy,male,36,1,128.0,894.22109375,114460.3,firstclass,17.0,577.1241176470588,adult,premium,0,2,0,2
11,4You,Virginia Roberts,female,61,0,384.0,923.7963802083333,354737.81,firstclass,54.0,545.7411111111111,senior,premium,0,2,2,2
12,4You,David Thomas,male,53,1,140.0,926.8991428571429,129765.88,firstclass,26.0,512.8488461538461,middle_aged,premium,0,2,1,2
14,4You,John Cody,male,37,1,80.0,933.1783750000001,74654.27,firstclass,9.0,548.8344444444444,adult,premium,0,2,0,2
15,4You,Janice Cudney,female,56,0,296.0,924.2652364864865,273582.51,firstclass,47.0,469.36638297872344,middle_aged,premium,0,2,1,2
16,4You,Shane Hubner,female,47,0,312.0,931.6523397435898,290675.53,firstclass,50.0,488.4086,middle_aged,premium,0,2,1,2
19,4You,John Bennett,male,22,1,166.0,980.5706626506025,162774.73,firstclass,31.0,649.9677419354839,young,premium,0,2,3,2
20,4You,Sally Roberts,female,65,0,154.0,917.0080519480518,141219.24,premium,25.0,531.1088,senior,premium,0,3,2,2
21,4You,Julia Meinhart,female,56,0,398.0,975.4067839195981,388211.9,firstclass,53.0,500.7766037735849,middle_aged,premium,0,2,1,2
22,4You,Michele Ashford,female,51,0,280.0,905.3252142857143,253491.06,firstclass,47.0,525.6017021276596,middle_aged,premium,0,2,1,2
23,4You,Leslie Sandoval,male,35,1,292.0,909.2570205479452,265503.05,premium,39.0,567.2458974358974,adult,premium,0,3,0,2
24,4You,Calvin Cuellar,male,60,1,82.0,962.3436585365853,78912.18,firstclass,11.0,630.7354545454546,senior,premium,0,2,2,2
25,4You,Elizabeth Smith,female,64,0,186.0,938.4819354838711,174557.64,firstclass,27.0,501.66481481481486,senior,premium,0,2,2,2
26,4You,Yolanda Connolly,female,49,0,186.0,948.3447849462366,176392.13,firstclass,27.0,475.3088888888889,middle_aged,premium,0,2,1,2
27,4You,Sean Pearson,male,62,1,152.0,945.5133552631579,143718.03,firstclass,23.0,558.3765217391305,senior,premium,0,2,2,2
28,4You,April Miller,female,46,0,20.0,924.3155,18486.31,firstclass,4.0,340.9025,middle_aged,premium,0,2,1,2
29,4You,Lisa Natera,female,35,0,52.0,899.9646153846153,46798.159999999996,firstclass,6.0,609.9083333333333,adult,premium,0,2,0,2
30,4You,Alberta Bornhorst,female,59,0,24.0,734.46375,17627.13,firstclass,4.0,547.97,middle_aged,economy,0,2,1,0
32,4You,Wesley Locker,male,44,1,370.0,958.0029729729729,354461.1,firstclass,53.0,552.8928301886792,middle_aged,premium,0,2,1,2
33,4You,Ida Turzak,female,56,0,6.0,1150.7883333333332,6904.73,premium,0.0,495.24,middle_aged,premium,0,3,1,2
34,4You,Anita Petersen,female,21,0,322.0,927.8738198757763,298775.37,firstclass,39.0,530.0889743589744,young,premium,0,2,3,2
38,4You,Nancy Dowdy,female,47,0,206.0,931.8699029126215,191965.2,firstclass,27.0,548.2737037037036,middle_aged,premium,0,2,1,2
39,4You,Billie Dwight,female,48,0,290.0,927.0780689655173,268852.64,firstclass,43.0,560.453023255814,middle_aged,premium,0,2,1,2
41,4You,Sandra Bissonnette,female,62,0,352.0,928.0351704545454,326668.38,firstclass,56.0,539.59375,senior,premium,0,2,2,2
42,4You,Robert Collins,male,61,1,6.0,1072.5066666666667,6435.04,firstclass,0.0,495.24,senior,premium,0,2,2,2
43,4You,Louise James,female,24,0,160.0,903.691375,144590.62,firstclass,34.0,498.4526470588235,young,premium,0,2,3,2
